# source_id	kind	status	crystal_refs	notes
src/ast/mod.rs::enum::AssertionKind	enum	partial	Regex::Syntax::AST::Assertion::Kind	Missing some variants (WordBoundaryStart, WordBoundaryEnd, WordBoundaryStartAngle, WordBoundaryEndAngle)
src/hir/literal.rs::func::len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#len, Regex::Syntax::Hir::LiteralExtraction::Seq#len	Literal and sequence length helpers ported
src/hir/literal.rs::func::limit_class	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#limit_class	Extractor class-width limit builder ported
src/hir/literal.rs::func::limit_literal_len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#limit_literal_len	Extractor literal-length limit builder ported
src/hir/literal.rs::func::limit_repeat	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#limit_repeat	Extractor repetition limit builder ported
src/hir/literal.rs::func::limit_total	func	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor#limit_total	Extractor total-literal limit builder ported
src/hir/literal.rs::func::literals	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#literals	Literal sequence storage accessor ported
src/hir/literal.rs::func::longest_common_prefix	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#longest_common_prefix	Longest common prefix helper ported
src/hir/literal.rs::func::longest_common_suffix	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#longest_common_suffix	Longest common suffix helper ported
src/hir/literal.rs::func::make_inexact	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#make_inexact, Regex::Syntax::Hir::LiteralExtraction::Seq#make_inexact	Literal and sequence inexact-marking helpers ported
src/hir/literal.rs::func::make_infinite	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#make_infinite	Literal sequence infinity marker ported
src/hir/literal.rs::func::max_cross_len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#max_cross_len	Literal sequence cross-size estimator ported
src/hir/literal.rs::func::max_literal_len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#max_literal_len	Literal sequence maximum literal length helper ported
src/hir/literal.rs::func::max_union_len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#max_union_len	Literal sequence union-size estimator ported
src/hir/literal.rs::func::min_literal_len	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#min_literal_len	Literal sequence minimum literal length helper ported
src/hir/literal.rs::func::minimize_by_preference	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#minimize_by_preference	Literal sequence preference minimizer ported
src/hir/literal.rs::func::new	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal.new, Regex::Syntax::Hir::LiteralExtraction::Seq.new, Regex::Syntax::Hir::LiteralExtraction::Extractor.new	Literal extraction constructors ported
src/hir/literal.rs::func::optimize_for_prefix_by_preference	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#optimize_for_prefix_by_preference	Prefix-oriented literal optimization ported
src/hir/literal.rs::func::optimize_for_suffix_by_preference	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#optimize_for_suffix_by_preference	Suffix-oriented literal optimization ported
src/hir/literal.rs::func::push	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#push	Literal sequence append helper ported
src/hir/literal.rs::func::rank	func	ported	Regex::Syntax::Hir::LiteralExtraction.rank	Literal preference ranking helper ported
src/hir/literal.rs::func::reverse	func	ported	Regex::Syntax::Hir::LiteralExtraction::Literal#reverse	Literal byte-reversal helper ported
src/hir/literal.rs::func::reverse_literals	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#reverse_literals	Literal sequence reversal helper ported
src/hir/literal.rs::func::singleton	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq.singleton	Literal sequence singleton constructor ported
src/hir/literal.rs::func::sort	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#sort	Literal sequence sort helper ported
src/hir/literal.rs::func::union	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#union	Literal sequence union helper ported
src/hir/literal.rs::func::union_into_empty	func	ported	Regex::Syntax::Hir::LiteralExtraction::Seq#union_into_empty	Literal sequence empty-union fast path ported
src/hir/literal.rs::method::ExtractKind.is_prefix	method	ported	Regex::Syntax::Hir::LiteralExtraction::ExtractKind#is_prefix	Extract-kind alias predicate ported
src/hir/literal.rs::method::Extractor.new	method	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor.new	Extractor constructor ported
src/hir/literal.rs::method::Seq.empty	method	ported	Regex::Syntax::Hir::LiteralExtraction::Seq.empty	Empty sequence constructor ported
src/hir/literal.rs::struct::Extractor	struct	ported	Regex::Syntax::Hir::LiteralExtraction::Extractor	Literal extraction builder ported
src/hir/literal.rs::struct::Literal	struct	ported	Regex::Syntax::Hir::LiteralExtraction::Literal	Literal extraction value object ported
src/hir/literal.rs::struct::Seq	struct	ported	Regex::Syntax::Hir::LiteralExtraction::Seq	Literal extraction sequence container ported
src/hir/literal.rs::test::alternation	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction alternation behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::anything	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction wide-match behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::anything_small_limits	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction small-limit behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::class	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction class behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::concat	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction concatenation behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::crazy_repeats	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction repetition limits covered in Crystal HIR literal specs
src/hir/literal.rs::test::empty	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction empty-node behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::holmes	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction Holmes fixture behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::holmes_alt	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction Holmes alternation behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::huge	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction large-case behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::impossible	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction impossible-match behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::literal	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction literal behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::look	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction look assertion behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::odds_and_ends	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction edge cases covered in Crystal HIR literal specs
src/hir/literal.rs::test::optimize	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction optimization behavior covered in Crystal HIR literal specs
src/hir/literal.rs::test::repetition	test	ported	lib/regex-syntax/spec/hir_literal_api_spec.cr	Literal extraction repetition behavior covered in Crystal HIR literal specs
src/hir/mod.rs::enum::Class	enum	missing	-	auto-generated
src/hir/mod.rs::enum::Dot	enum	missing	-	auto-generated
src/hir/mod.rs::enum::ErrorKind	enum	missing	-	auto-generated
src/hir/mod.rs::enum::HirKind	enum	missing	-	auto-generated
src/hir/mod.rs::enum::Look	enum	missing	-	auto-generated
src/hir/mod.rs::func::alternation	func	missing	-	auto-generated
src/hir/mod.rs::func::capture	func	missing	-	auto-generated
src/hir/mod.rs::func::case_fold_simple	func	missing	-	auto-generated
src/hir/mod.rs::func::class	func	missing	-	auto-generated
src/hir/mod.rs::func::concat	func	missing	-	auto-generated
src/hir/mod.rs::func::contains	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_anchor	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_anchor_crlf	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_anchor_haystack	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_anchor_lf	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_anchor_line	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_word	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_word_ascii	func	missing	-	auto-generated
src/hir/mod.rs::func::contains_word_unicode	func	missing	-	auto-generated
src/hir/mod.rs::func::difference	func	missing	-	auto-generated
src/hir/mod.rs::func::dot	func	missing	-	auto-generated
src/hir/mod.rs::func::empty	func	missing	-	auto-generated
src/hir/mod.rs::func::end	func	missing	-	auto-generated
src/hir/mod.rs::func::explicit_captures_len	func	missing	-	auto-generated
src/hir/mod.rs::func::fail	func	missing	-	auto-generated
src/hir/mod.rs::func::full	func	missing	-	auto-generated
src/hir/mod.rs::func::insert	func	missing	-	auto-generated
src/hir/mod.rs::func::intersect	func	missing	-	auto-generated
src/hir/mod.rs::func::into_kind	func	missing	-	auto-generated
src/hir/mod.rs::func::is_alternation_literal	func	missing	-	auto-generated
src/hir/mod.rs::func::is_ascii	func	missing	-	auto-generated
src/hir/mod.rs::func::is_empty	func	missing	-	auto-generated
src/hir/mod.rs::func::is_literal	func	missing	-	auto-generated
src/hir/mod.rs::func::is_utf8	func	missing	-	auto-generated
src/hir/mod.rs::func::iter	func	missing	-	auto-generated
src/hir/mod.rs::func::kind	func	missing	-	auto-generated
src/hir/mod.rs::func::len	func	missing	-	auto-generated
src/hir/mod.rs::func::literal	func	missing	-	auto-generated
src/hir/mod.rs::func::look	func	missing	-	auto-generated
src/hir/mod.rs::func::look_set	func	missing	-	auto-generated
src/hir/mod.rs::func::look_set_prefix	func	missing	-	auto-generated
src/hir/mod.rs::func::look_set_prefix_any	func	missing	-	auto-generated
src/hir/mod.rs::func::look_set_suffix	func	missing	-	auto-generated
src/hir/mod.rs::func::look_set_suffix_any	func	missing	-	auto-generated
src/hir/mod.rs::func::maximum_len	func	missing	-	auto-generated
src/hir/mod.rs::func::memory_usage	func	missing	-	auto-generated
src/hir/mod.rs::func::minimum_len	func	missing	-	auto-generated
src/hir/mod.rs::func::negate	func	missing	-	auto-generated
src/hir/mod.rs::func::new	func	missing	-	auto-generated
src/hir/mod.rs::func::pattern	func	missing	-	auto-generated
src/hir/mod.rs::func::properties	func	missing	-	auto-generated
src/hir/mod.rs::func::push	func	missing	-	auto-generated
src/hir/mod.rs::func::ranges	func	missing	-	auto-generated
src/hir/mod.rs::func::read_repr	func	missing	-	auto-generated
src/hir/mod.rs::func::remove	func	missing	-	auto-generated
src/hir/mod.rs::func::repetition	func	missing	-	auto-generated
src/hir/mod.rs::func::set_insert	func	missing	-	auto-generated
src/hir/mod.rs::func::set_intersect	func	missing	-	auto-generated
src/hir/mod.rs::func::set_remove	func	missing	-	auto-generated
src/hir/mod.rs::func::set_subtract	func	missing	-	auto-generated
src/hir/mod.rs::func::set_union	func	missing	-	auto-generated
src/hir/mod.rs::func::singleton	func	missing	-	auto-generated
src/hir/mod.rs::func::span	func	missing	-	auto-generated
src/hir/mod.rs::func::start	func	missing	-	auto-generated
src/hir/mod.rs::func::static_explicit_captures_len	func	missing	-	auto-generated
src/hir/mod.rs::func::subs	func	missing	-	auto-generated
src/hir/mod.rs::func::subtract	func	missing	-	auto-generated
src/hir/mod.rs::func::symmetric_difference	func	missing	-	auto-generated
src/hir/mod.rs::func::to_byte_class	func	missing	-	auto-generated
